iteration,param_1,param_2,param_3,param_4
1,102.1213795535383,108.68067574533484,0.0,17.27266747564407
2,102.56623915420474,89.05882754313441,0.0,35.833832181929125
3,108.05599818745412,82.72378792562836,0.0,33.40571437630378
4,54.09061360276925,96.52015053812224,0.0,15.055115162218987
5,122.01025594903294,107.36192424686392,0.0,19.88416261886999
6,77.65974461749666,148.343571111984,0.0,18.350420144351375
7,88.09493792861086,63.194373253949955,0.0,20.33762286269322
8,96.36097443249143,121.36359224862079,0.0,14.763779105444517
9,108.19123423876458,81.1447500705053,0.0,17.613245433008988
10,88.66901629089537,51.857199958993846,0.0,35.356164648594834
11,88.73740622535658,127.19163558447772,0.0,34.388874988990466
12,76.45681403619307,140.1877324530415,0.0,30.80595378044925
13,60.319684650083005,108.7584936208851,0.0,18.096020068013203
14,135.8524460984681,87.5416923704514,0.0,35.52211060316776
15,120.64611415680902,119.59876908100297,0.0,22.932102888814104
16,93.64968019635306,69.68463250876555,0.0,26.582585181600226
17,96.44130786564624,132.47874340282866,0.0,32.596671475343676
18,104.1885712909996,127.61893362091841,0.0,35.8170909541045
19,134.0891645307813,129.53659928632615,0.0,28.51109868590446
20,94.59308658409107,54.70233514446322,0.0,30.184423932842673
21,149.3047780561204,65.46412974182537,0.0,14.927691536786906
22,55.87601652669244,112.09889683979308,0.0,19.885758935414554
23,112.11826338964892,83.32600250411272,0.0,34.73939008481393
24,114.8838257085004,58.49376717961714,0.0,17.01514917317829
25,121.91688247836534,136.80636488186576,0.0,32.49942503601383
26,107.0914143528448,55.71036587618443,0.0,17.39502869838147
27,111.80579134993668,144.29536942333593,0.0,36.078010438194084
28,115.3069505868399,104.42251291997731,0.0,19.420279089807202
29,128.84629304706058,117.3107308674884,0.0,12.64132123616322
30,95.6980428815118,50.784509619672576,0.0,13.664676318353633
31,147.4898709202078,111.46506742853326,0.0,30.575563258102296
32,124.42335599332029,58.7551141093,0.0,35.81545467605258
33,53.58347913594211,52.100767203239414,0.0,27.204039635263594
34,117.12178339681252,131.57135997307526,0.0,17.60530173942023
35,141.97634927871013,88.36323988797072,0.0,15.060129944463066
36,71.73649891007383,66.5802092353317,0.0,23.07180096470222
37,50.65359823524964,108.55416676989222,0.0,37.40276909114212
38,131.4833180345946,148.60669839327804,0.0,28.814453307314814
39,114.57484096650808,119.3946955274594,0.0,25.930711265459195
40,125.49657532024261,129.08506665347224,0.0,32.07385101854364
41,63.75671038457833,111.31935049873012,0.0,36.33476700241513
42,93.59942776141989,60.06216009576492,0.0,21.665630958296145
43,110.99509943559598,77.50934163139613,0.0,36.23774910264841
44,60.58158630675838,77.98893312639184,0.0,29.53399277330692
45,109.60771614398598,88.64385243157267,0.0,33.861404836195206
46,103.19171943661014,137.23081425314595,0.0,37.33701956144407
47,120.0938897849389,139.8550118507454,0.0,17.023498156060892
48,113.90733076769254,119.69849246763773,0.0,13.561607531835918
49,53.232022325850835,128.84848968465494,0.0,24.70638394896642
50,102.44540912036237,90.42038028193544,0.0,18.232016860145748
51,128.08241839754112,129.39133755492858,0.0,23.128814143493432
52,120.45463521172066,58.45000163161767,0.0,13.982155684427003
53,96.47564617556071,112.71074906601362,0.0,20.129816405002572
54,122.96505094781924,98.05572076587829,0.0,34.023330607539805
55,97.29836541117966,135.2896962032975,0.0,33.57824795233416
56,69.32513319836536,138.99965143915605,0.0,35.91517550251686
57,98.72681395793161,53.4521869738114,0.0,16.280059653449438
58,135.1762096969481,135.86126917483142,0.0,29.110218301052438
59,133.4294867320103,118.43197780212427,0.0,20.54991910875384
60,87.08139438599777,63.613804136612515,0.0,17.52094944514605
61,63.339293140850984,99.20114499624044,0.0,15.674412145108732
62,72.26805765691378,137.00939845581738,0.0,14.380970042642382
63,89.11554998255252,138.591431340705,0.0,20.265094015121495
64,96.25734761326241,59.61488319762503,0.0,31.325175097806962
65,141.1253730780079,117.05590370106727,0.0,31.684657576936132
66,115.55019923998375,132.49915212948912,0.0,33.68082352007912
67,76.52704972164173,103.93192587297331,0.0,16.796365626328498
68,75.38413154594625,66.50818358029423,0.0,30.22384384889019
69,117.95377579949916,58.028127587661004,0.0,16.156443928934536
70,70.02706070413548,76.42419038156443,0.0,26.014159458845874
71,87.35640651277359,94.11720906167795,0.0,14.173629953019374
72,104.77114596901225,145.2647008097292,0.0,37.025610548331144
73,120.07368934894447,125.78571142564017,0.0,31.73378347939188
74,73.16842584910346,109.45223434844178,0.0,17.256952821955775
75,77.57311480164036,141.12576414470524,0.0,27.30780069993479
76,59.16463155319352,144.78055509414318,0.0,35.98287407791454
77,121.24824840530604,64.86474698689287,0.0,20.950392585368643
78,113.07230453602178,140.82499135936976,0.0,37.40994536843535
79,134.52262536404552,86.18308550573612,0.0,25.760461528826884
80,59.249395406804005,131.07003328501742,0.0,26.436862414003613
81,97.97098773046775,121.45706461660257,0.0,16.943812998113035
82,123.88541006368676,76.78152023534955,0.0,24.980047106865978
83,78.8124768573945,125.6036651820214,0.0,23.655931761350825
84,84.89879236876543,109.64922238795256,0.0,25.727152477639148
85,72.7478499332499,124.57127252341537,0.0,30.80639029988863
86,121.52339097989693,69.67936340490056,0.0,14.257993851825818
87,92.4880489327788,133.84279167037096,0.0,32.38978982720695
88,146.09836012971397,53.048474745173344,0.0,34.18348515666213
