iteration,param_1,param_2,param_3,param_4,param_5,param_6,param_7
1,92.4880489327788,133.84279167037096,0.0,64.7795796544139,73.04918006485698,13.262118686293336,21.260548788184803
2,136.73394062664852,55.680766486115296,0.0,47.79147043304421,35.94061183015935,14.468372425951031,16.576882557171842
3,66.19932982566496,145.04513074735752,0.0,54.08333761069946,67.34297719096412,15.257130789376422,16.103534722212043
4,94.89730825931791,132.96556968872994,0.0,31.723152993634297,68.85214978041024,33.80458771187443,23.468710867430698
5,117.01377190205757,102.30367879708666,0.0,73.77328665860787,46.3227619223876,32.484245711802785,30.295482595544378
6,110.19889218670356,103.02705876981912,0.0,59.87776687850681,32.86250667685675,31.652606412491984,33.070406483005435
7,69.51721856000265,127.07645593837276,0.0,54.755715634972134,38.9277926625055,32.573237976370976,29.764510004828004
8,141.36257364308773,68.5017433856668,0.0,58.780823692405136,55.4638971096926,19.69999340495531,27.606038144325552
9,51.19248223053264,139.5780546153634,0.0,72.8122133869808,51.051742875454266,24.948748478857645,25.441819466560272
10,59.92826014863583,135.35989478748598,0.0,37.67014540531953,59.4517658392558,28.567070598407252,32.63377718146956
11,141.53613043754882,54.604356508505546,0.0,48.58451212372804,54.07365574737949,28.759403874008747,16.216222648700057
12,110.05538684802123,59.61483843625831,0.0,56.39624989617633,27.566888613258666,32.818359280087265,26.83329061426466
13,119.41605347533653,59.23354683512192,0.0,47.950110883553144,62.15123545363082,35.195879434402244,34.51542016195434
14,85.72639506754571,85.58951105989946,0.0,53.39032163232594,51.04539758120434,18.38178898315556,30.247486769582494
15,130.40316909070228,125.1740109512379,0.0,46.58899443857479,62.84687728534897,13.755813271291558,20.297493848436563
16,88.30147850853916,89.391808017469,0.0,35.60764446930198,34.37176931627623,28.885742137553216,27.68242108179316
17,139.46130447151347,101.94174104814651,0.0,52.61095506606133,41.95256530236107,22.291653750367704,33.84470642746281
18,122.78980069641025,137.21265456602563,0.0,59.61217994653466,43.0626760173023,25.404089740566814,32.60011162869022
19,105.76661556320093,70.03947507647611,0.0,50.34359294671704,60.69021905447028,13.605788735629524,36.96745264334081
20,89.44746226180278,66.8437109427475,0.0,50.40923134501889,70.11158808663855,36.14565785168766,22.329972390598634
21,130.81418661316468,116.69574029079067,0.0,59.782749775168334,26.684228608803267,35.71431681622702,25.13209580846267
22,91.95970179631703,82.46694658737745,0.0,61.810033989092304,29.538793359672333,31.65677598846756,26.97146214129805
23,134.22199514436986,142.26689744806706,0.0,58.214331967982915,62.148520577742396,29.602039340870018,23.585584937049724
24,128.51016885001746,96.5682571679897,0.0,52.76814892452626,61.43998048019769,36.74787123841211,33.6885101228144
25,75.84681772501666,123.12835874940001,0.0,45.6508708355198,69.9525471067385,21.32844211585838,19.331080331727122
26,84.89304487579503,137.92435503599182,0.0,62.792825238070215,34.798246778610405,26.723998733656295,27.30965176401864
27,90.47280729005624,133.4197104734151,0.0,51.62208606853718,62.23962709896431,19.288127853062427,29.91114969347966
28,129.39758581868895,61.12324774566809,0.0,36.60547505697697,74.03691284040339,29.26307785240748,24.274609210350217
29,99.0099288839534,63.27294783347559,0.0,30.623215960801435,43.884623743039135,27.294425598350657,18.538054004782854
30,129.46244824970987,119.92834083107127,0.0,37.78511674930036,50.934458326223606,27.522380132462885,31.29632860093009
31,139.93475454008274,137.37605616456253,0.0,46.843044601257375,68.72774522247931,21.618337546360603,23.524246939038722
32,60.69043572652778,105.60959910614717,0.0,39.62154580843581,68.42902367060336,19.590924815147,16.312084461825805
33,125.35655893748927,145.00806371530618,0.0,31.548766406672176,58.985271221612514,31.975094708822827,16.53544831862638
34,128.38451683587806,111.69731192646265,0.0,64.04644909532632,46.802174732262024,15.00232329130568,15.74904158288536
35,63.40977337840451,52.94602156654994,0.0,38.327154817760736,34.3861878641013,28.32568787437101,33.70867350903966
36,114.23819672077036,148.769450454486,0.0,67.33550988749066,67.6618622360221,36.65971620496099,15.531169346908113
37,114.21949938760328,70.27443216901077,0.0,74.4925230779444,40.46505482218492,35.52862662326286,28.348903633839406
