iteration,param_1,param_2,param_3
1,27.20761071473158,27.747276945836667,34.12936044923133
2,43.80473366401223,58.1349788305435,30.358374974972918
3,66.56995910860314,44.88589589088478,25.803717914956692
4,69.31343998218573,36.81896639757925,12.928769123849584
5,59.43551697019094,59.69402322398798,14.941949064353633
6,46.15350881248894,58.432707960627894,22.38174376190521
7,31.676891983668128,30.899757755647926,27.278499042996373
8,30.33403309843477,53.105112497078544,26.765963169522966
9,31.140566566139107,30.2565596509145,23.94392597443394
10,42.59058309984709,42.79584731853875,24.45584279961002
11,48.443070056381586,39.842896611966665,30.7564175117879
12,70.29669792447633,63.974927701142484,35.9215384738089
13,26.929770465463598,48.26628850440107,36.567167748409716
14,59.28496005248719,43.112557096636095,14.834884914730692
15,66.7825425130485,33.69836757744337,27.713853788653857
16,62.1805355034879,53.31021003737595,28.809640522297407
17,72.62534012138401,40.4695948796372,37.4607645259127
18,44.32935008226416,34.707358311318025,26.19001641640863
19,36.71030779537465,61.958018136802096,36.107494986951224
20,38.929440259772264,69.49583127546698,34.55750328807352
21,41.71427969243606,63.21162771832902,20.62378454978287
22,58.72904939223913,29.248908324305845,36.35255215936196
23,67.85444438793611,42.13373223105171,17.371299885454505
24,53.09525605180205,30.36417941845192,16.18669969288826
25,66.40021942681614,60.67440412159629,17.66366096487913
26,74.5873139689872,50.262615275203146,27.472913647074588
27,25.34508929542994,53.35872359297913,15.379983990174557
28,71.69934333104203,57.63030271817448,23.29582856124959
29,41.405629224263066,71.0807178605168,24.787872083871182
30,40.18297801759222,32.23115615438637,37.299054413386216
31,72.83573464095406,71.20889953046564,30.455317978138908
32,42.22309182116874,55.46553130381573,13.056918658112423
33,35.43459077982384,26.807150389448676,18.27384484416865
34,42.34034278692263,69.09260173818323,12.724103986713944
35,36.25792504020985,25.494783742895805,36.93363602797378
36,42.42131237343888,50.11234949483099,17.568145237790482
37,68.90653307207668,27.854026559024604,32.63371271754425
38,39.8904318062917,33.45391673002117,21.225192953600892
39,47.734631915260174,25.91984566576602,30.41202463657435
40,55.21074625261926,26.750529296303327,23.149663663250745
41,40.26652754024842,66.94063930187221,32.250846078038926
42,33.80974751073381,53.243598601260665,21.54765920351439
43,26.57800313848725,63.770798798283955,33.683296781376
44,44.09223518816685,61.37582458776627,14.77254990344301
45,57.83495987829739,45.752673096685484,22.73195784184846
46,50.27878392477664,72.40451189468102,22.193225450923105
47,55.52122116962131,45.799860748494744,33.08976461989748
48,69.93488481761989,46.06778706809723,35.98358225457747
49,42.9321072319169,27.26525606548289,26.730506393966834
50,32.07732499134151,27.144070808408998,20.10833817075955
51,37.681584203864055,52.753353111732814,24.180923671730927
52,46.377051121937164,59.196157265041236,29.49895633577093
53,29.115275214114543,30.677783876435967,22.40673239021598
54,30.069854300640642,54.634696489688906,13.607201848077644
55,35.390978774714235,29.32584485841321,18.827088649971802
56,56.58401246477038,36.029054763695626,25.51179659309055
57,63.18915758458444,70.6499829842494,14.608208647751042
58,45.161630859750765,59.71275074415705,34.75338154714805
59,35.74507951430432,42.23484372927256,15.459134929964403
60,28.940397085794373,33.22787591827369,23.734324742995796
61,69.03750073824457,26.812590091383033,29.33189213801375
62,33.90224212259504,32.63923692664031,26.608163852400878
63,61.46738850547862,34.80695196469373,22.768577830212152
64,43.460019076265525,44.61224882643061,20.05972406340418
65,68.24453366177214,56.50440589347725,35.458554457196826
66,52.479514239375916,49.1544417692361,30.514617027814882
67,35.05948907013192,56.77351949559824,36.53888917211611
68,60.010282509412406,31.342835297144887,30.32410048425078
69,58.59073051526858,54.225780358752964,26.4188046830006
70,57.652078827024035,51.88171439428169,19.11021014049858
71,32.91438339579833,57.04204255997085,33.53722733062084
72,38.79666312919105,31.878753857986126,21.152220252334818
73,37.34421354244884,45.31597538708681,13.639822461025702
74,53.38159917958982,45.454498874318574,32.23197789562943
75,49.68032208776204,68.47881717840359,35.387559405530205
76,74.76037760890793,31.479511701491514,21.66293869048756
77,27.495072831882645,54.317807326711055,20.068403979854686
78,60.79192467761383,70.85684139878,35.72687887562235
79,43.38820149110597,40.95219906847355,18.797941998832545
80,47.5544801616564,26.451804096579927,20.146197449304847
81,28.32056347165805,25.518960680254892,30.639393283885486
82,68.97378184323713,39.83584548803501,18.44213597110813
83,74.90939631431249,43.94841932089923,34.227326807634256
84,47.023196681114584,70.39946531036045,34.39833074669395
85,72.1400950361969,32.62773587725889,22.76987917989214
86,40.13730698897259,64.21765154872394,23.720302071595377
87,59.2370134332501,46.63659537911017,37.082603198613626
88,66.1031321287975,27.974188268845012,25.635319140275563
89,59.32593314783485,69.6135562904362,20.664124580303557
90,51.290078815601724,49.65204896243058,32.393233817987316
91,29.741004144592036,31.282948341667762,33.41503996000007
92,73.73588006281773,67.92421091921194,25.722463616266257
93,58.36077024506563,41.04161567314999,20.335240377639728
94,64.0913945010244,45.063905638302934,21.843627151787942
95,55.84425195691646,70.13908001753818,18.060625361596816
96,44.309613893131264,34.12772137888465,20.616447889672276
97,38.29330119122994,45.75992783473498,15.731645290249908
98,70.2008734840248,68.45318915509534,25.657207472590194
99,72.79828105501616,53.291423970714206,17.401190345964242
100,25.1122770945434,25.529096738190383,27.103965624232444
101,66.88421363837413,70.63769472774159,19.74392141998126
102,44.77694991810191,31.538365383286447,36.525499840716904
103,32.76626184282082,36.20986163717734,37.01067023300634
104,58.04867162591201,55.147104717870846,21.083332059103405
105,61.249871746546305,66.8969730156488,27.51472538266112
106,58.68822669752139,48.47493701379988,17.973018458762184
107,73.01829984960182,49.68525248482668,25.792116929485655
108,39.1766738839873,62.67170744933759,17.70200774059576
109,40.42933099900966,53.90793562401511,33.54311521383
110,63.04305311662968,68.76021226850683,21.52936676052058
111,41.53092150732007,48.74825645272645,17.991221560651724
112,38.59621944800068,59.70868578002282,31.073572942090998
113,61.89530440067672,67.9654847941213,18.607072933706405
114,28.274982757403794,51.800967059175626,23.462011233092166
115,42.504233801659055,60.551756479406,27.18376923921732
116,65.45618799420225,48.86438536013401,36.09613549829802
117,62.089851177194255,51.681340714609746,18.877782886648628
118,44.94146805950855,37.847503513013145,23.343828000757977
119,26.491040220208344,43.56612519889188,17.26339697642695
120,42.331472021179344,68.61614327192109,27.697561971865998
