iteration,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
1,140.6299638797481,47.174686622980225,124.56733811393941,0.0,37.69245444707548,41.70757681909594,23.18319702183998,34.188680006398954
2,141.9181159793397,46.30096187041948,124.65863168484384,0.0,72.70796312392311,67.29475411755301,27.168717513874725,15.545315948133617
3,117.51947065744358,26.66552756362038,102.8489534782925,0.0,59.15798828103564,62.910163071470556,26.795515043555874,25.975705210978084
4,76.57968651067172,58.286135295553024,133.555977388284,0.0,54.725690860021615,64.49456221906932,18.547046607640247,23.919112779429454
5,65.38886150047634,50.42935466814422,136.26442861449465,0.0,49.640861144084965,38.433770361413075,26.012861410353295,34.31438088869905
6,73.80014779422612,60.42037255285816,97.03779458845987,0.0,72.4824082116537,48.8032945563478,21.01922950976468,25.906833770433792
7,134.29585898545488,73.45094818125892,106.87691920438343,0.0,54.627493361914816,44.8338740666269,25.1946011242289,21.47537969527869
8,145.2494152585678,46.14996461213537,117.14770598462319,0.0,50.25848347874886,25.084818121825975,15.156649227797962,30.981349336618553
9,103.4655463698758,51.08810086352904,135.40933666720682,0.0,35.13270398657425,53.07707728969218,33.67678455237228,23.316066408631983
10,121.27109562989263,42.174634281148535,101.47135469269966,0.0,30.349263467303373,33.1412348062665,33.192572849289725,31.329552932840123
11,54.631758917139884,37.8911092142244,120.62669058140617,0.0,32.63823619206055,32.18520141055559,24.028436584569388,22.94005087807125
12,59.92683633998966,35.320314129828475,144.4120222633544,0.0,70.8350779804501,49.40848770238151,20.997202515103872,29.038151726018008
13,123.25740305037094,44.261404202617655,129.89341784834795,0.0,73.61004741033248,28.05009419351,37.00639279045688,18.13956402131835
14,62.29180975169217,27.160374133167796,76.01823509568945,0.0,70.34319824085837,70.8555043619674,25.940531141401458,18.023786167476334
15,132.4285707230196,58.54467542331507,144.58498909607061,0.0,50.975836828419915,46.543674478314394,34.04222164219007,13.193661585284344
16,110.55234020388704,67.90381578129266,72.39606030633846,0.0,52.002417357454924,52.94624356165194,33.444326789772546,24.91849241114933
17,75.50266881623354,54.87008229157782,122.97994971707725,0.0,68.44923285872932,51.100873301149285,31.696199915533484,25.000849041281768
18,72.48881627878357,45.993008213639975,73.86001310917187,0.0,73.58406366611786,31.935364638421117,31.78908368185437,19.089541789012802
19,103.3515546912406,29.282783852693168,94.95697364121705,0.0,25.572974861596887,42.71399789431404,14.891067022645002,31.103122157697793
20,71.49085488815743,61.37980499705675,80.6805734245882,0.0,31.23863498672347,64.91151069302022,13.996976688624244,18.41144793193652
21,57.02986693852036,65.17232298433836,96.16308640309813,0.0,45.319859918748826,41.73038059693693,23.738549702207994,21.113579402241317
22,126.20905831365863,31.7653730807206,60.5777866423215,0.0,59.77861987613178,72.15393149867786,14.967738394129624,18.227344621141516
23,131.61671086594885,41.85967939371528,122.84646465771579,0.0,30.21125841743405,47.370001134179674,21.40150365809319,32.30532227055903
24,128.2081225590627,66.82035253899818,92.92674331664641,0.0,58.88716691456002,66.13916025030473,22.042291479627877,37.30032189454805
25,96.54601929413688,69.55083535944915,115.90479687527571,0.0,38.86801989273223,47.215254097673544,17.118456321655895,31.806914603237026
26,74.89593599462783,64.32020765406254,91.28161881482112,0.0,39.39352818094235,58.62519456714813,30.34301186712857,35.14040276570852
27,89.83743865470029,32.86013851791382,133.88248758690807,0.0,34.25485792968857,57.23732645454675,32.884216970763305,34.02337516705488
28,136.8457363221546,73.04655613706747,85.78033977143072,0.0,28.83088713055785,43.4718916517423,36.85482536832306,18.26615495186302
29,76.24720293367173,48.61052893610554,62.84762191839651,0.0,35.28839937110787,71.0066247689844,22.48566189592409,25.66274611149886
30,55.56570685836499,59.32386896085712,131.9138862616343,0.0,50.79791424935456,58.715896117085364,35.191446799899914,20.211268311824266
31,75.01774536915539,26.22995243982238,107.29558960316577,0.0,72.73400692806624,74.3653971470996,26.266928784906796,25.618696655000296
32,50.63782007035872,39.34131290539708,128.02406914680407,0.0,58.36442476445028,27.97335533375694,15.507812548418768,23.796589251348955
33,124.72868162025092,71.88909538373184,93.23516320211411,0.0,60.65446806438006,41.29364317657747,16.476465829323708,34.08158552066786
34,57.761062011616794,36.254292179403166,54.082341315010616,0.0,70.45458387969293,29.47324426962586,23.653416528722925,24.444606834731342
35,124.97796451324943,30.526496804460862,105.0253558076843,0.0,27.317678889976037,44.29312049234031,30.641774959071245,23.503717121794462
36,107.49696169585512,39.64670358259805,144.68353500751098,0.0,28.75156061418092,32.91707787652501,15.471034732323291,15.86883958575607
37,139.1806732582818,40.18039874075557,87.03389507244373,0.0,35.94922763586767,53.78330251576728,28.548261886932146,27.242864994174898
38,130.75220301009745,73.03771925443934,59.65086418591373,0.0,59.28014501729735,29.938230457058403,17.279710289336904,15.564271399395238
39,98.7488110972854,38.37165241357921,109.92407552660244,0.0,55.364550022360184,71.09792239714344,23.737265785343624,27.028266366607944
40,108.37637053859251,71.19542077488123,105.56063732479899,0.0,36.11856446112104,52.50740815555913,14.825188437207098,24.738127901986257
41,121.10372596521853,40.64911236041084,116.53628221425976,0.0,56.466775048348495,30.855851964514912,33.63001292279023,35.26059660095016
42,125.55251257431257,31.088296984262403,110.16008703509436,0.0,70.5218246466926,49.58833140050055,22.372946574886196,37.09827583765588
43,112.55213687534966,70.34805424014745,121.85684913409476,0.0,58.746442895901886,68.83063347282716,30.671847871366197,37.336774512866576
44,133.39973390857918,37.98098741192232,129.90817753646286,0.0,59.26844250043533,50.15208566330107,37.363160554863015,19.743290822172444
45,98.28415162922713,71.6949721212504,143.23651096109998,0.0,66.84214090320431,50.435606203629156,32.33507186690482,30.66007520601738
46,77.02826054676144,73.26173553610987,51.20662388894333,0.0,55.26819018493537,56.30745341868183,16.223581871873094,23.856162426077642
47,126.98563399500019,48.20810794501894,100.85377290141548,0.0,32.46209128723141,56.07690532956868,27.845804045692645,18.17053491031479
48,127.82867602871639,35.67664030334537,76.14275882100125,0.0,38.62846730487454,56.82528766285113,13.051394058337372,27.027169411673334
49,133.78087899875774,64.39278498895793,80.62255566001686,0.0,28.75151857594082,60.805541754010214,24.191129739195745,25.618117557496006
50,97.11242465350335,38.55939554442088,132.51379455942026,0.0,43.90656190105344,33.743430095341004,16.87522480585301,18.825320545408275
51,103.2598997898488,41.55775384913719,60.35535236349669,0.0,69.85092094229803,38.998302807892394,27.640584427698194,17.687067776353736
52,88.23003977647912,35.955365795373,104.57323269325123,0.0,58.329838205642545,56.48340814880779,26.93022190826323,27.983699546708706
53,75.17606809574518,73.15862020824555,56.85039109802143,0.0,29.05930545504902,54.834849478681505,14.626205404044132,13.194363693505743
54,105.67380485733442,38.15766502209896,113.89693453145782,0.0,49.31799044962525,60.19075602081612,12.799822317293952,36.99307060823514
55,89.0426773560611,28.150305130290683,61.87570605908186,0.0,29.19128925148369,28.544326639888705,34.333002988095565,33.082572435070425
